authors,title,journal,volume,issue,pages,year,doi,abstract,date
"Sharma S, Wilson R, Pryymachenko Y, Pathak A, Chua J, Gwynne-Jones D, Bennell KL, Metcalf B, Hinman RS, Lim B-W, Abbott JH","Reliability, validity, responsiveness, and minimum important change of the Stair Climb Test in adults with hip and knee osteoarthritis",Arthritis Care & Research,75,5,1147–1157,2023,10.1002/acr.24821,"*Objective*\ The Osteoarthritis Research Society International (OARSI) recommends assessment of physical function using a performance-based test of stair negotiation but was unable to recommend any specific test. We assessed the reliability, validity, responsiveness, measurement error, and minimum important change (MIC) of the 6-step timed Stair Climb Test (SCT).\ \ *Methods*\ We used pooled data from 397 participants with hip or knee osteoarthritis (54% women) from 4 clinical trials (86% retained at 12-week follow-up). Construct validity was assessed by testing 6 a priori hypotheses against other OARSI-recommended physical function measures. A self-reported Global Rating of Change scale was used to classify participants as worsened, improved, and stable. Participants who worsened in physical function were excluded from all analyses. Responsiveness and MIC were assessed using multiple anchor-based and distribution-based approaches. Test–retest reliability, standard error of measurement (SEM), and smallest detectable change (SDC) were assessed on stable participants.\ \ *Results*\ Five of 6 hypotheses (83%) for construct validity were met. Test–retest reliability was excellent (intraclass correlation coefficient2,1 0.83; 95% confidence interval 0.71–0.90). The SEM and SDC values were 0.44 and 1.21 seconds, respectively. We did not find adequate support for responsiveness. The MIC values ranged from 0.78 to 1.95 seconds using different approaches (median 1.37 seconds).\ \ *Conclusion*\ The 6-step timed SCT adequately assesses the construct of physical function in individuals with hip or knee osteoarthritis with excellent 12-week test–retest reliability. However, support for its responsiveness was inadequate to recommend its use as an outcome measure in people with osteoarthritis for research and clinical practice.",2022-11-24
"Wilson R, Pryymachenko Y, Abbott JH, Dean S, Stanley J, Garrett S, Mathieson F, Dowell A, Darlow B",A Guideline-Implementation Intervention to Improve the Management of Low Back Pain in Primary Care: A Difference-in-Difference-in-Differences Analysis,Applied Health Economics and Health Policy,21,,253–262,2023,10.1007/s40258-022-00776-3,"*Background*\ Real-world adherence to clinical practice guidelines is often poor, resulting in sub-standard patient care and unnecessary healthcare costs. This study evaluates the effect of a guideline-implementation intervention for the management of low back pain (LBP) in general practice–the Fear Reduction Exercised Early (FREE) approach—on LBP-related injury insurance claims, healthcare utilisation, and costs of treatment.\ \ *Design*\ Data were extracted from comprehensive nationwide New Zealand injury insurance claims records. Data were analysed using a ‘triple-difference’ (difference-in-difference-in-differences) method to isolate the causal effect of FREE training on LBP claims activity, comparing the difference in general practitioner (GP) LBP claims and associated activity before and after training with their non-musculoskeletal injury claims for the same periods (assumed to be unaffected by training), relative to the same comparisons for GPs not trained in the FREE approach.\ \ *Results*\ Training GPs in the FREE approach resulted in significant reductions in the number of LBP injury claims lodged (− 19%, 95% CI −34 to −5), the use of physiotherapy (−30%, 95% CI − 42 to − 18) and imaging (− 27%, 95% CI − 46 to − 8%), and the healthcare costs (− 21%, 95% CI − 41 to − 1) of LBP injury. Changes in claims for earnings’ compensation (− 10%, 95% CI − 34 to 13) were not significant.\ \ *Conclusions*\ A brief guideline-implementation intervention following best-practice LBP management and guideline-implementation strategies achieved significant reductions, persisting over at least 6 to18 months, in healthcare utilisation consistent with improved delivery of guideline-concordant care.",2022-12-06
"Wilson R, Abbott JH, Mellor R, Grimaldi A, Bennell K, Vicenzino B",Education plus exercise for persistent gluteal tendinopathy improves quality of life and is cost-effective compared to corticosteroid injection and wait and see: Economic evaluation of a randomised trial,Journal of Physiotherapy,69,1,35–41,2023,10.1016/j.jphys.2022.11.007,"*Question*\ For patients with gluteal tendinopathy, what is the cost utility from health system and societal perspectives of three management approaches: education plus exercise, ultrasound-guided corticosteroid injection or wait and see?\ \ *Design*\ Economic evaluation alongside a three-group, parallel, randomised clinical efficacy trial.\ \ *Participants*\ People aged between 35 and 70 years with image-confirmed gluteal tendinopathy were recruited via advertisements.\ \ *Interventions*\ Education plus exercise, consisting of 14 visits to a physiotherapist, with detailed instruction on tendinopathy management, twice weekly supervised exercise sessions, daily home exercises, a handout and a CD; corticosteroid injection, consisting of one ultrasound-guided injection and a handout on general tendon care; and ‘wait and see’, consisting of one visit to a physiotherapist with assurance and advice on staying active whilst respecting pain.\ \ *Outcome measures*\ Economic outcome measures were quality-adjusted life years (QALYs) calculated from EuroQol EQ-5D-3L using Australian population preference weights, and total economic costs obtained from participant-reported data collected over the 1-year follow-up period. Missing data (#sym.lt;12% per group) were imputed. Linear regression was used to estimate incremental QALYs and costs between interventions; uncertainty was assessed by calculating 90% confidence intervals, cost-effectiveness acceptability curves and confidence ellipses.\ \ *Results*\ A total of 204 individuals (82% women) were enrolled. Incremental cost-effectiveness ratio favoured education plus exercise over corticosteroid injection (AU\$12,719 and \$5,592 on societal and health system perspectives, respectively) and over wait and see (\$29,258 and \$3,444 on societal and health system perspectives, respectively). Complete case analysis and varying the direct intervention costs did not change the (imputed analysis) results, with the exception that corticosteroid injection was less cost-effective.\ \ *Conclusion*\ Education plus exercise for gluteal tendinopathy improves health-related quality of life and is cost-effective compared with corticosteroid injection and wait and see for treating gluteal tendinopathy.",2023-01-03
"Abbott JH, Wilson R, Pryymachenko Y, Sharma S, Pathak A, Chua JYY",Economic evaluation: a reader's guide to studies of cost-effectiveness,Archives of Physiotherapy,12,,28,2022,10.1186/s40945-022-00154-1,"*Background*\ Understanding what an economic evaluation is, how to interpret it, and what it means for making choices in a health delivery context is necessary to contribute to decisions about healthcare resource allocation. The aim of this paper to demystify the working parts of a health economic evaluation, and explain to clinicians and clinical researchers how to read and interpret cost-effectiveness research.\ \ *Main body*\ This primer distils key content and constructs of economic evaluation studies, and explains health economic evaluation in plain language. We use the PICOT (participant, intervention, comparison, outcome, timeframe) clinical trial framework familiar to clinicians, clinical decision-makers, and clinical researchers, who may be unfamiliar with economics, as an aide to reading and interpreting cost-effectiveness research. We provide examples, primarily of physiotherapy interventions for osteoarthritis.\ \ *Conclusions*\ Economic evaluation studies are essential to improve decisions about allocating resources, whether those resources be your time, the capacity of your service, or the available funding across the entire healthcare system. The PICOT framework can be used to understand and interpret cost-effectiveness research.",2022-12-15
"Ribeiro DC, Tangrood ZJ, Wilson R, Sole G, Abbott JH",Tailored exercise and manual therapy versus standardised exercise for patients with shoulder subacromial pain: a feasibility randomised controlled trial (the Otago MASTER trial),BMJ Open,12,,e053572,2022,10.1136/bmjopen-2021-053572,"*Objectives*\ The aim of this study was to assess whether it was feasible to conduct a full trial comparing a tailored versus a standardised exercise programme for patients with shoulder subacromial pain.\ \ *Design*\ Two-arm, patient-blinded and assessor-blinded, randomised controlled feasibility trial.\ \ *Methods*\ Twenty-eight participants with shoulder subacromial pain were randomly allocated into one of two intervention groups—tailored or standardised exercise. Participants in the tailored exercise programme received exercises and manual therapy tailored to their scapular and shoulder movement impairments. Participants in the standardised exercise programme received progressive strengthening exercise. The primary outcome measures were (1) the participant recruitment rate; (2) the proportion of participants enrolled from the total number screened; (3) drop-out rates; and (4) adherence to the rehabilitation programme. Other outcome measures were: (5) pain levels; (6) Patient-Specific Functional Scale; (7) the Shoulder Pain and Disability Index; and (8) pain self-efficacy. We compared changes in pain and disability scores between groups using a repeated mixed-model analysis of variance. Since this is a feasibility study, we did not adjust alpha for multiple comparisons, and considered 75% CI as the probability threshold at 3-month follow-up. Health-related quality of life was assessed using the Short-Form 12 and quality-adjusted life years (QALYs) were estimated.\ \ *Results*\ The recruitment rate was 3 participants per month, the proportion of participants enrolled was 23%, the drop-out rate was 14% and the overall adherence to the rehabilitation programme was 85%. No between-group differences were found for most outcome measures. Adverse events (n=2, only in the tailored group) were minor in nature and included skin injury or pain following taping.\ \ *Conclusion*\ Our feasibility trial showed that additional strategies are required for improving recruitment, enrolment and minimising drop-out of participants into the trial and making it feasible to conduct a full trial.",2022-06-16
"Pathak A, Wilson R, Sharma S, Pryymachenko Y, Ribeiro DC, Chua J, Abbott JH",Measurement properties of the Patient-Specific Functional Scale and its current uses: An updated systematic review of 57 studies using COSMIN guidelines,Journal of Orthopaedic & Sports Physical Therapy,52,5,262–275,2022,10.2519/jospt.2022.10727,"*Objective*\ To systematically review measurement properties, including acceptability, feasibility, and interpretability, and current uses of the Patient-Specific Functional Scale (PSFS).\ \ *Design*\ Systematic review of a patient-reported outcome measure using the COnsensus-based Standards for the selection of health status Measurement INstruments (COSMIN) guidelines.\ \ *Literature Search*\ We searched 11 databases from January 2010 to July 2020 for articles on measurement properties or use of PSFS.\ \ *Study Selection Criteria*\ Published primary articles without language restrictions.\ \ *Data Synthesis*\ Two independent reviewers screened all records, extracted data, and performed risk of bias assessments using COSMIN guidelines. We qualitatively synthesized findings for each measurement property in musculoskeletal and nonmusculoskeletal conditions, and 2 reviewers independently performed Grading of Recommendations Assessment, Development and Evaluation assessments. This study was preregistered with the Open Science Framework ( https://doi.org/10.17605/OSF.IO/42UZT).\ \ *Results*\ Of the 985 articles screened, we included 57 articles on measurement properties and 255 articles on the use of PSFS. The PSFS had sufficient test-retest reliability in musculoskeletal (22 studies, 845 participants, low-to-moderate certainty) and nonmusculoskeletal conditions (6 studies, 197 participants, very low certainty), insufficient construct validity as a measure of physical function (21 studies, 2 945 participants, low-to-moderate certainty), and sufficient responsiveness (32 studies, 13 770 participants, moderate-to-high certainty). The standard error of measurement ranged from 0.35 to 1.5. The PSFS was used in 87 unique health conditions, some without prior evidence of validity.\ \ *Conclusion*\ The PSFS is an easy-to-use, reliable, and responsive scale in numerous musculoskeletal conditions, but the construct validity of PSFS remains uncertain. Further study of the measurement properties of the PSFS in nonmusculoskeletal conditions is necessary before clinical use.",2022-05-10
"Wilson R, Chua J, Pryymachenko Y, Pathak A, Sharma S, Abbott JH",Prioritizing Healthcare Interventions: A Comparison of Multicriteria Decision Analysis and Cost-Effectiveness Analysis,Value in Health,25,2,268–275,2022,10.1016/j.jval.2021.08.008,"*Objectives*\ To investigate the extent to which stated preferences for treatment criteria elicited using multicriteria decision analysis (MCDA) methods are consistent with the trade-offs (implicitly) applied in cost-effectiveness analysis (CEA), and the impact of any differences on the prioritization of treatments.\ \ *Methods*\ We used existing MCDA and CEA models developed to evaluate interventions for knee osteoarthritis in the New Zealand population. We established equivalent input parameters for each model, for the criteria “treatment effectiveness,” “cost,” “risk of serious harms,” and “risk of mild-to-moderate harms” across a comprehensive range of (hypothetical) interventions to produce a complete ranking of interventions from each model. We evaluated the consistency of these rankings between the 2 models and investigated any systematic differences between the (implied) weight placed on each criterion in determining rankings.\ \ *Results*\ There was an overall moderate-to-strong correlation in intervention rankings between the MCDA and CEA models (Spearman correlation coefficient = 0.51). Nevertheless, there were systematic differences in the evaluation of trade-offs between intervention attributes and the resulting weights placed on each criterion. The CEA model placed lower weights on risks of harm and much greater weight on cost (at all accepted levels of willingness-to-pay per quality-adjusted life-year than did respondents to the MCDA survey.\ \ *Conclusions*\ MCDA and CEA approaches to inform intervention prioritization may give systematically different results, even when considering the same criteria and input data. These differences should be considered when designing and interpreting such studies to inform treatment prioritization decisions.",2021-09-23
"Pryymachenko Y, Wilson R, Sharma S, Pathak A, Abbott JH",Are manual therapy or booster sessions worthwhile in addition to exercise therapy for knee osteoarthritis: Economic evaluation and 2-year follow-up of a randomized controlled trial,Musculoskeletal Science and Practice ,56,,102439,2021,10.1016/j.msksp.2021.102439,"*Background*\ Exercise therapy is known to be an effective intervention for patients with osteoarthritis, however the evidence is limited as to whether adding manual therapy or booster sessions are cost-effective strategies to extend the duration of benefits.\ \ *Objective*\ To investigate the cost-effectiveness, at 2-year follow-up, of adding manual therapy and/or booster sessions to exercise therapy.\ \ *Design*\ 2-by-2 factorial randomized controlled trial.\ \ *Methods*\ Participants with knee osteoarthritis were randomly allocated (1:1:1:1) to: exercise therapy delivered in consecutive sessions within 9 weeks (control group), exercise therapy distributed over 1 year using booster sessions, exercise therapy plus manual therapy delivered within 9 weeks, and exercise therapy plus manual therapy with booster sessions. The primary outcome was incremental cost-effectiveness from health system and societal perspectives interpreted as incremental net monetary benefit (INMB).\ \ *Results*\ Of 75 participants, 66 (88 %) were retained at 1-year and 40 (53 %) at 2-year follow-up. All three interventions were cost-effective from both the health system and societal perspectives (INMBs, at 0.5 × GDP/capita willingness to pay (WTP) threshold: \$3278 (95%CI -3244 to 9800) and \$3904 (95%CI -2823 to 10,632) respectively for booster sessions; \$2941 (95%CI -3686 to 9568) and \$2618 (95%CI -4005 to 9241) for manual therapy; \$270 (95%CI -6139 to 6679) and \$404 (95%CI -6097 to 6905) for manual therapy with booster sessions).\ \ *Conclusion*\ Manual therapy or booster sessions in addition to exercise therapy are cost-effective at 2-year follow-up. The evidence did not support combining both booster sessions and manual therapy in addition to exercise therapy.",2021-08-07
"Wilson RA, Gwynne-Jones DP, Sullivan TA, Abbott JH",Total hip and knee arthroplasty are highly cost-effective procedures: The importance of duration of follow-up,Journal of Arthroplasty,36,6,1864–1872.e10,2021,10.1016/j.arth.2021.01.038,"Background Total hip and knee arthroplasties (THA/TKA) are clinically effective but high cost procedures. The aim of this study is to perform a cost-effectiveness analysis of THA and TKA in the New Zealand (NZ) healthcare system.  Methods Data were collected from 713 patients undergoing THA and 520 patients undergoing TKA at our local public hospital. SF-6D utility values were obtained from participants preoperatively and 1-year postoperatively, and deaths and any revision surgeries from patient records and the New Zealand Joint Registry at minimum 8-year follow-up. A continuous-time state-transition simulation model was used to estimate costs and health gains to 15 years. Quality-adjusted life years (QALYs), treatment costs, and incremental cost-effectiveness ratios (ICERs) were calculated to determine cost effectiveness. ICERs below NZ gross domestic product (GDP; NZ\$60 600) and 0.5 times GDP per capita were considered “cost effective” and “highly cost effective” respectively.  Results Cumulative health gains were 2.8 QALYs (THA) and 2.3 QALYs (TKA) over 15 years. Cost effectiveness improved from ICERs of NZ\$74,400 (THA) and NZ\$93,000 (TKA) at 1 year to NZ\$6000 (THA) and NZ\$7500 (TKA) at 15 years. THA and TKA were cost effective after 2 years and highly cost effective after 3 years. QALY gains and cost effectiveness were greater in patients with worse preoperative functional status and younger age.  Conclusion THA and TKA are highly cost-effective procedures over longer term horizons. Although preoperative status and age were associated with cost effectiveness, both THA and TKA remained cost effective in patients with less severe preoperative scores and older ages.",2021-01-21
"Coombs DM, Machado GC, Richards B, Wilson R, Chan J, Storey H, Maher CG","Healthcare costs due to low back pain in the emergency department and inpatient setting in Sydney, Australia",Lancet Regional Health - Western Pacific,75,,100089,2021,10.1016/j.lanwpc.2020.100089,"Background Low back pain is the leading cause of disability worldwide and a common presentation to emergency departments, often resulting in subsequent admissions to hospital. There have been several studies investigating the cost of low back pain to society, but few specific to the emergency department and inpatient setting, especially in Australia. The aim was to describe the cost of low back pain in Australian public hospital emergency departments, and inpatient settings, and explore healthcare costs associated with different care pathways.  Methods In this retrospective observational study, we explored the costs associated with an episode of care for low back pain in adults that attended three emergency departments in Sydney between 1 July 2014 and 30 June 2019. Systematised Nomenclature of Medicine—Clinical Terms (SNOMED) diagnosis codes were used to identify episodes of care where the patients had been diagnosed with non-specific low back pain or lumbosacral radicular syndromes. Serious spinal pathologies were excluded. We determined the costs for different treatment pathways involving the ambulance service, emergency department and inpatient ward care. Hospital costs were adjusted for inflation to 2019 Australian dollars (AUD).  Results There were 12,399 non-serious low back pain episodes of care during the study period. 4006 (32%) arrived by ambulance and 2067 (17%) were admitted for inpatient care. The total costs of inpatient and emergency department care across the 5-year period were AUD\$36.7 million, with a mean of AUD\$2959 per episode of care. The mean cost for a patient who had a non-ambulance presentation to the emergency department and was discharged was AUD\$584. Patients presenting to the emergency department via ambulance and were discharged had a mean cost of AUD\$1022. Patients who presented without the need of an ambulance and were admitted had a mean cost of \$13,137. The most expensive care pathway was for patients arriving by ambulance with subsequent admission, with a mean cost of AUD\$14,949.  Interpretation The common practice of admitting patients with non-serious low back pain for inpatient care comes at great cost to the healthcare system. In a resource constrained environment, our data highlights the economic need to implement innovative, evidence-based strategies to reduce the inpatient management of these patients.",2021-01-29
"Wilson R, Chua J, Briggs AM, Abbott JH",The cost-effectiveness of recommended adjunctive interventions for knee osteoarthritis: Results from a computer simulation model,Osteoarthritis and Cartilage Open,2,4,100123,2020,10.1016/j.ocarto.2020.100123,"Objective To estimate the potential lifetime health gains, healthcare costs, and cost-effectiveness of recommended adjunctive treatments for knee osteoarthritis delivered in addition to established core treatments, relative to core treatment only, from the perspective of the New Zealand (NZ) healthcare sector.  Design Recommended adjunctive knee osteoarthritis treatments were identified in clinical practice guidelines. Evidence of effectiveness was sourced from existing systematic reviews and meta-analyses. Treatment costs were calculated by applying local reference prices to estimated resource use. We used a validated computer simulation model of the impacts of knee osteoarthritis to estimate the cost-effectiveness of each adjunctive treatment at willingness-to-pay thresholds of one (primary), two, and three times per-capita GDP (\$NZ52 300).  Results Data were collected on nine recommended adjunctive treatments: aquatic-based exercise, heat therapy, massage therapy, walking cane, cognitive behavioural therapy (CBT), topical non-steroidal anti-inflammatory drugs (NSAIDs), oral NSAIDs, intra-articular corticosteroids, and duloxetine. Relative to core treatments only, walking cane and heat therapy were cost-saving and provided greater QALYs; aquatic exercise and intra-articular corticosteroids were also cost-effective at all WTP thresholds. Topical NSAIDs and CBT were cost-effective only at higher WTP thresholds, while duloxetine, massage therapy, and oral NSAIDs were not cost-effective at any relevant threshold. Results were generally robust to varying modelling assumptions, although topical and oral NSAIDs and CBT became cost-effective in some scenarios.  Conclusions Delivering high-value, low-cost adjunctive interventions for knee osteoarthritis, alongside recommended core treatment, could deliver substantial health gains at low cost to the health system.",2020-12-22
"Chua J, Hansen P, Briggs AM, Wilson R, Gwynne-Jones D, Abbott JH",Stakeholders’ preferences for osteoarthritis interventions in health services: A cross-sectional study using multi-criteria decision analysis,Osteoarthritis and Cartilage Open,2,4,100110,2020,10.1016/j.ocarto.2020.100110,"Objective To combine cross-sectoral stakeholders’ preferences over interventions for knee osteoarthritis (OA) with guideline recommendations and evidence about interventions, and to investigate if these preferences differ by stakeholder group.  Design A survey based on multi-criteria decision analysis was implemented whereby the stakeholders revealed the relative importance, represented as weights, of eight criteria for choosing or recommending knee OA interventions. Using data from an OA clinical guideline, 15 recommended interventions were rated on the criteria and ranked by their total scores, calculated by summing the corresponding weights. Associations between the weights and stakeholder groups were explored using regression analysis.  Results Participants comprised 58 consumers with OA, 5 Māori health advocates, 79 healthcare providers, 24 policy-informants and 12 OA-researchers (N = 178; 63% female, [mean age±SD] 54 ± 13 years). Mean weights on the eight criteria, in decreasing order of importance, are: recommendation: 19.0%; quality of evidence: 17.7%; effectiveness: 15.0%; duration of effect: 13.2%; risk of serious harm: 12.8%; risk of mild/moderate side-effects: 9.4%; cost: 6.6%; and accessibility: 6.3%. For first-, second- and third-line OA interventions respectively, all land-based exercise (total score = 71.7%), NSAIDs (topical) (74.2%) and total joint replacement (74.3%) were ranked first. At all care phases, the recommended core interventions of weight management and self-management education ranked between 11th and 15th (48.0%–56.0%). Regression analysis identified only small differences in weights (#sym.lt.eq;5.7%; p #sym.lt 0.01) between stakeholder groups.  Conclusions Not all recommended core interventions are preferred by cross-sectoral stakeholders, which may represent a barrier to their uptake. Stakeholders’ preferences do not appreciably differ by stakeholder group.",2020-12-22
"Pryymachenko Y, Wilson RA, Abbott JH, Dowsey MM, Choong PFM",Risk Factors for Chronic Opioid Use Following Hip and Knee Arthroplasty: Evidence from New Zealand Population Data,Journal of Arthroplasty,35,11,3099–3107.e14,2020,10.1016/j.arth.2020.06.040,"Background Patients awaiting total joint arthroplasty (TJA) have high rates of opioid use, and many continue to use opioid medications long term after surgery. The objective of this study is to estimate the risk factors associated with chronic opioid use after TJA in a comprehensive population-based cohort.  Methods All patients undergoing TJA in the New Zealand public healthcare system were identified from Ministry of Health records. Dispensing of opioid medications up to 3 years postsurgery and potential risk factors, including demographic, socioeconomic, and surgery-related characteristics, pre-existing medical comorbidities, and use of other analgesic medications prior to surgery, were identified from linked population databases. Logistic regression analysis was used to identify factors associated with chronic postoperative opioid use.  Results The strongest risk factor for chronic postoperative opioid use was preoperative opioid use. Other significant risk factors included perioperative opioid use, history of alcohol or drug abuse, younger age, female gender, knee arthroplasty, several comorbid health conditions, and preoperative use of some analgesic medications. Protective factors included higher education levels and preoperative use of nonsteroidal anti-inflammatory drugs. Most risk factors had similar effects on chronic postoperative opioid use irrespective of the length of follow-up considered (1, 2, or 3 years).  Conclusion This study of a comprehensive nationwide population-based cohort of TJA patients with 3 years of follow-up identified several modifiable risk factors and other easily measured patient characteristics associated with higher risk of long-term postoperative opioid use.",2020-06-26
"Gwynne-Jones DP, Gwynne-Jones JH, Wilson RA","Response to Letter to the Editor on ""The Functional Outcomes of Patients With Knee Osteoarthritis Managed Nonoperatively at the Joint Clinic at 5-Year Follow-Up: Does Surgical Avoidance Mean Success?""",Journal of Arthroplasty,35,10,3060–3061,2020,10.1016/j.arth.2020.05.054,"We agree that our article is observational and we acknowledge our loss to follow-up. We also agree with his comments regarding the varying definitions and ways of measuring success. In our article, we used validated patient-reported outcome measures, general questions on functional outcomes, and patients’ perceptions of need for surgery at 5-year follow-up, but did not ask patients specifically whether they regarded their treatment, either surgical or nonoperative, as a success.  … \[see the full letter published in the [Journal of Arthroplasty](10.1016/j.arth.2020.05.054)\]",2020-05-27
"Gwynne-Jones DP, Sullivan T, Wilson R, Abbott JH",The Relationship Between Preoperative Oxford Hip and Knee Score and Change in Health-Related Quality of Life After Total Hip and Total Knee Arthroplasty: Can It Help Inform Rationing Decisions?,Arthroplasty Today,6,3,585–589.e1,2020,10.1016/j.artd.2020.04.009,"Background In countries with publicly funded health care, there is an increasing need for explicit rationing for total joint arthroplasty (TJA). The Oxford Hip and Knee Scores (OHS/OKS) have been used to set access thresholds for TJA despite not being developed for that purpose. The aim of this study was to determine whether preoperative OHS/OKS can aid rationing decisions by investigating the changes in general health-related quality of life after TJA.  Methods OHS/OKS, Short Form-12, and Short Form-6D (SF-6D) scores were collected preoperatively and at 1 year postoperatively in a cohort of patients undergoing total hip arthroplasty (THA; n = 713) and total knee arthroplasty (TKA; n = 520). The association between preoperative OHS/OKS and postoperative score and the change in OHS/OKS and SF-6D was investigated, adjusting for age and gender.  Results The mean Oxford scores improved from 13.9 to 40.7 (OHS) and 15.6 to 37.4 (OKS). The mean SF-6D improved after THA (0.53 to 0.80) and TKA (0.56 to 0.78) (all P < .0001). Poorer preoperative Oxford scores were associated with poorer postoperative OHS/OKS and SF-6D but larger improvements. For every 5 points lower preoperative OHS/OKS, the postoperative SF-6D score was worse by a margin of 0.019 (THA) and 0.023 (TKA).  Conclusions Preoperative OHS/OKS can help inform rationing decisions. A lower preoperative OHS/OKS will result in greater gains but a lower final outcome score in general health-related quality of life.",2020-05-20
"Gwynne-Jones DP, Gwynne-Jones JH, Wilson RA",The Functional Outcomes of Patients With Knee Osteoarthritis Managed Nonoperatively at the Joint Clinic at 5-Year Follow-Up: Does Surgical Avoidance Mean Success?,Journal of Arthroplasty ,35,9,2350–2356.e1,2020,10.1016/j.arth.2020.04.087,"Background Nonoperative management of patients with knee osteoarthritis (OA) through multidisciplinary programs may delay or reduce the need for total knee arthroplasty (TKA). However, avoidance of surgery may not represent success for the patient.  Methods A cohort of 120 patients with knee OA managed with at least 6 months of supervised nonoperative treatment coordinated through the Joint Clinic were reviewed at 5 years. Outcomes including Oxford knee score (OKS), Short Form 12 (SF-12), and SF-6D and other measures including analgesia use, global change, and perception of need for surgery were collected and compared with those from the cohort who had undergone TKA.  Results Seventy (62.5%) surviving patients were still being managed nonoperatively. There was no significant change in any outcome score (OKS, SF-12 physical component score, SF-12 mental component score, SF-6D) (P = .26 to .84). Forty-two patients had undergone TKA with mean time to surgery 29.0 months (range, 9-69 months). In this group, the mean OKS fell from 17.9 at baseline to 10.3 (range, 3-21) preoperatively (P < .0001) and at 5 years there was a significant improvement from baseline in OKS, SF-12 physical component score, and SF-6D scores (P < .0001). All outcome scores and change in scores were significantly higher for the surgical group (all P < .001).  Conclusion Although a high proportion of patients with knee OA have avoided surgery at 5 years, their outcomes show no improvement from baseline and are poorer than those who have undergone TKA. Avoidance of surgery should not necessarily be regarded as an indicator of success of nonoperative treatment for the patient.",2020-05-03
"Shadbolt C, Shilling S, Inacio MC, Abbott JH, Pryymachenko Y, Wilson R, Choong PFM, Dowsey MM",Opioid Use and Total Joint Replacement,Current Rheumatology Reports,22,,58,2020,10.1007/s11926-020-00929-0,"Purpose of Review We provide an overview of recent research into the relationship between preoperative opioid use and total joint replacement outcomes.  Recent Findings Recent findings indicate that total joint replacement patients with a history of preoperative opioid use experience higher rates of infection, revision, short-term complications, and prolonged postoperative opioid use, along with fewer improvements in pain and function following surgery. These risks are particularly pronounced among chronic opioid users. While the baseline risk profiles of these patients may contribute to higher rates of adverse outcomes, it is also plausible that certain outcomes are directly impacted by opioid use through mechanisms such as opioid-induced hyperalgesia and immunosuppression. There is little available data on the efficacy of interventions that aim to mitigate these risks.  Summary Well-designed clinical trials are needed to evaluate the efficacy of targeted perioperative interventions that aim to improve outcomes for this high-risk surgical population. Where such trials are not feasible, additional high-quality observational studies are necessary to further our understanding of the mechanisms underlying the relationships between opioid use and specific adverse outcomes.",2020-08-17
"Gwynne-Jones DP, Wilson R, McEwan C",National Referral Prioritization tool for first specialist assessment: results of a pilot study in orthopaedic surgery,ANZ Journal of Surgery,90,9,1738–1742,2020,10.1111/ans.16002,"Background Most public hospitals are receiving more referrals for first specialist assessment than they have capacity to see. Traditional priority categories are too broad for effective discrimination. In New Zealand (NZ) explicit prioritization is required by legislation and supported by the Medical Council of NZ. A new generic National Referral Prioritization tool (NRPT) has been developed which includes a patient impact on life score. This study reports its trial implementation in orthopaedic surgery in a single centre.  Methods Four months of referrals to the orthopaedic department were prioritized using the new NRPT and traditional clinical priority categories. Scores and acceptances were compared across conditions, surgeons and against the traditional categories.  Results The mean NRPT was 60.1 (range 23–99). The correlation with impact on life was 0.59. There was good consistency of scores between surgeons. The NRPT score was significantly different across clinical priority categories (urgent, semi-urgent, routine). A total of 305 referrals (49%) were accepted using the NRPT compared with 493 (79%) if the traditional tool had been used. Patients with foot and ankle, carpal tunnel syndrome and upper limb conditions had the lowest scores and were more likely to be declined.  Conclusions The NRPT is the first tool designed to prioritize referral letters. It is more discriminating than the clinical priority categories used previously. It allows fine-tuning of a threshold score to balance acceptances and capacity.",2020-05-26
"Gwynne-Jones JH, Wilson RA, Wong JMY, Abbott JH, Gwynne-Jones DP",The Outcomes of Nonoperative Management of Patients With Hip and Knee Osteoarthritis Triaged to a Physiotherapy-Led Clinic at Minimum 5-Year Follow-Up and Factors Associated With Progression to Surgery,Journal of Arthroplasty,35,6,1497–1503,2020,10.1016/j.arth.2020.01.086,"Background The purpose of this study is to determine outcomes of a nonoperative treatment service for hip and knee osteoarthritis (OA), the “Joint Clinic,” at minimum 5-year follow-up, and investigate factors that may influence progression to joint replacement surgery.  Methods This is an observational cohort study of 337 patients with hip (n = 151, 45%) or knee OA (n = 186, 55%) seen at the Joint Clinic, at 5-7 years of follow-up. Kaplan-Meier survival curves were used to determine survivorship of the affected joint and Cox regression used to determine factors associated with time to surgery.  Results At mean 6-year follow up, 188 (56%) patients had undergone or were awaiting total joint arthroplasty, 127 (38%) were still being managed nonoperatively, and 22 (7%) had died without having surgery. Patients with hip OA were more likely to have required surgery (111/151, 74%) than patients with knee OA (77/186, 41%) (chi-square = 33.6, P < .001). The 7-year surgery-free survival for hip OA was 23.7% and knee OA 55.9% (P < .001). Factors associated with increased likelihood of surgery were joint affected (hip, hazard ratio [HR] 2.80), Kellgren-Lawrence (KL) grade (KL 3, HR 2.02; KL 4, 4.79), and Oxford Hip/Knee Score (HR 1.34 for each 5 points worse at baseline).  Conclusion More than 50% of the patients referred to secondary care with mild-moderate knee OA may not need surgery at 7 years. Patients with hip OA and those with severe radiographic changes are more likely to require surgery and should not be delayed if there is not an adequate response to conservative measures.",2020-02-07
